#{"t_start": 1752147323.3922827, "env_id": "None"}
r,l,t
-68.07739,33,206.451961
-63.45886,33,206.661551
-304.30002,39,207.0234
-290.49182,38,207.096204
83.02088,33,207.201111
857.57196,100,207.377598
-810.1752,82,207.556446
-235.84985,37,207.969987
-493.37418,59,208.004666
-166.3438,34,208.392044
-499.23404,59,208.530991
-578.8475,78,208.569683
-163.86533,38,208.872786
-64.60315,33,209.111134
3.1052704,36,209.25744
-546.1454,65,209.644078
101.373085,100,209.821147
-352.76727,45,209.974239
-931.2346,90,210.210823
-47.59803,37,210.21119
824.6944,100,210.688942
-63.294353,33,210.883396
-604.69275,73,211.187889
-11.692751,58,211.376732
-544.4004,62,211.377056
-327.66916,44,211.448377
-174.98584,38,211.580821
64.4217,33,211.815365
-185.9138,100,212.088211
30.306007,36,212.623074
-281.7939,38,212.775682
-192.55531,61,213.021492
-123.943405,53,213.056633
-62.59636,45,213.40559
-433.36966,54,213.473769
798.4193,100,213.542251
-387.3907,100,213.740624
-25.17098,33,213.905076
-230.01302,36,214.271488
-199.47734,38,214.303859
-920.52905,88,214.407164
-241.64268,38,214.763813
-118.745125,33,214.868244
-468.75677,85,215.034029
95.85394,33,215.44225
-173.25455,35,215.476815
58.79815,33,215.544937
44.415047,33,215.991488
837.1086,100,216.085569
-274.80023,40,216.472174
-102.44019,33,216.709967
-748.67633,79,216.710334
-97.51625,37,216.828613
-11.948264,37,216.945443
872.1654,100,216.945818
-120.695335,100,217.095237
-608.1548,70,217.329668
-69.83859,33,217.365849
-67.066216,37,217.87464
-192.86316,35,218.214313
-54.82201,37,218.478943
-81.40925,34,218.515235
-117.748665,33,218.802745
-24.728584,33,219.676907
-600.5146,71,219.677444
-40.877914,37,220.003519
-56.95154,37,220.040633
-590.16766,81,220.040996
-249.68327,100,220.079854
-541.6343,79,220.187258
-28.796232,76,220.437835
-607.06525,72,220.851731
-185.87048,34,220.919099
-208.02708,35,220.952532
-118.02584,33,221.194517
-126.11493,34,221.262861
-133.80045,37,221.365688
-210.13841,34,221.40125
86.18525,33,221.601772
41.28289,46,221.698411
-1124.0425,100,222.505416
-347.01465,45,222.544626
-171.10538,34,222.580469
-229.27089,36,222.698324
-412.05917,50,222.698649
-268.0373,37,222.958244
-256.01526,37,223.826378
-50.96782,33,223.862122
-784.09503,77,223.944358
-208.24652,38,224.306611
1103.3771,100,224.411553
-348.55124,100,224.870687
-1026.7498,100,225.369076
-677.6663,73,225.369185
-275.0178,40,225.369207
-90.237465,33,225.682761
402.6102,100,226.223922
922.3027,100,226.260526
-107.587494,33,226.602689
94.80554,33,226.603021
-267.50003,38,226.783872
119.54065,33,226.893935
-564.86035,83,227.408226
517.8895,100,227.550598
-1108.1147,100,227.663052
-95.95909,33,227.806188
-222.61237,35,227.880409
-348.70258,59,228.419878
375.3296,100,228.568979
-183.84285,38,229.074674
-531.2671,64,229.259308
-298.45786,39,229.259641
-536.8035,73,229.477705
91.530685,33,229.651027
-1022.904,100,229.899905
-43.018036,37,229.935398
-495.14844,60,230.082447
-135.64082,33,230.260594
43.15547,33,230.654479
-353.94223,48,230.981401
581.365,100,231.059386
-146.24739,100,231.202437
-227.8033,36,231.372731
-494.75134,58,231.733491
-459.80518,58,231.988337
-166.00693,38,232.027663
-67.14091,33,232.16581
